,Life insurance company,Total assets in billion U.S. dollars
0,Prudential Financial,638.03
1,"MetLife, Inc.",427.56
2,New York Life,354.13
3,TIAA-CREF,328.73
4,American International Group,318.53
5,Northwestern Mutual,290.6
6,Lincoln Financial,288.51
7,Massachusetts Mutual,282.01
8,Manulife Financial,277.04
9,Jackson National,274.89
10,"Equitable Holdings, Inc.",222.16
11,Transamerica Corporation,214.61
12,Principal Financial,210.9
13,Nationwide,197.43
14,Brighthouse Holdings Group,195.22
15,Allianz,162.33
16,Pacific Life,153.45
17,Voya Financial,150.55
18,Talcott Resolution Group,123.07
19,Ameriprise Financial,113.82
20,Thrivent Financial,102.22
21,Athene Group,99.56
22,Sammons Financial,89.9
23,Protective Life,88.6
24,State Farm,81.84
