,political party,Number of total votes
0,Conservative,6155662
1,Liberal,5915950
2,NDP-New Democratic Party,2849214
3,Bloc Québécois,1376135
4,Green Party,1162361
5,People's Party,292703
6,Independent,71854
7,Christian Heritage Party,18816
8,Parti Rhinocéros Party,9567
9,Libertarian,8281
10,VCP,6209
11,ML,4492
12,Animal Protection Party,4407
13,Communist,4248
14,Pour l'Indépendance du Québec,3792
15,No Affiliation,1766
16,PC Party,1556
17,Radical Marijuana,852
18,CFF - Canada's Fourth Front,700
19,UPC,612
20,National Citizens Alliance,507
21,Stop Climate Change,296
22,Nationalist,284
