,Year,Expenditure in billion Canadian dollars
0,2018/19,15.67
1,2017/18,15.14
2,2016/17,14.67
3,2015/16,14.21
4,2014/15,13.88
5,2013/14,13.6
6,2012 /13,13.55
7,2011 /12,12.95
8,2010 /11,12.65
9,2009 /10,12.31
10,2008 /09,11.45
11,2007 /08,10.54
12,2006 /07,9.88
13,2005 /06,9.28
14,2004 /05,8.76
15,2003 /04,8.32
16,2002 /03,7.83
17,2001 /02,7.27
18,2000 /01,6.8
19,1999 /00,6.4
20,1998 /99,6.21
21,1997 /98,5.99
22,1996 /97,5.86
23,1995 /96,5.81
24,1994 /95,5.78
25,1993 /94,5.79
26,1992 /93,5.72
27,1991 /92,5.43
28,1990 /91,5.25
