,Month,Number of samples tested in thousands
0,Dec 17,158918.95
1,Dec 10,151632.22
2,Dec 3,144727.75
3,Nov 26,137062.75
4,Nov 19,129591.79
5,Nov 11,121962.51
6,Nov 5,115429.1
7,Oct 29,107728.09
8,Oct 22,100113.09
9,Oct 15,92254.93
10,Oct 8,84634.68
11,Oct 2,76717.73
12,Sept 24,68928.44
13,Sept 17,61572.34
14,Sept 10,54097.98
15,Sept 4,46679.15
16,Aug 27,39477.85
17,Aug 18,31742.78
18,Aug 10,25281.85
19,Aug 3,20864.75
20,July 27,17334.88
21,July 20,14381.3
22,July 8,10740.83
23,July 1,9056.17
24,June 24,7560.78
25,June 17,6249.67
26,June 10,5213.14
27,Jun 3,4103.23
28,May 25,3033.59
29,May 22,2719.43
30,May 21,2615.92
31,May 20,2512.39
32,May 19,2404.27
33,May 18,2302.79
34,May 17,2227.64
35,May 16,2134.28
36,May 15,2039.95
37,May 14,1947.04
38,May 13,1854.25
39,May 12,1759.58
40,May 11,1673.69
41,May 10,1609.04
42,May 9,1523.21
43,May 8,1437.79
44,May 7,1357.41
45,May 6,1276.78
46,May 5,1191.95
47,May 4,1107.23
48,May 3,1046.45
49,May 2,976.36
50,May 1,902.65
51,Apr 30,830.2
52,Apr 29,770.76
53,Apr 28,716.73
54,Apr 19,383.99
55,Apr 18,354.97
56,Apr 17,318.45
57,Apr 16,286.71
58,Apr 15,258.73
59,Apr 14,229.43
60,Apr 13,202.55
61,Apr 12,181.03
62,Apr 11,164.77
63,Apr 10,147.03
64,Apr 9,130.79
