,Group,Turnover in thousands of euros
0,Nexity,2737200
1,Bouygues Real Estate,2510000
2,SNI Group,1358000
3,BNP Paribas Real Estate,1340000
4,Immobilière 3F (real estate division),1275500
5,Kaufman and Broad,1026000
6,Sogeprom,880000
7,Vinci real estate,816000
8,Eiffage Real Estate,662000
9,New Builders,626100
10,Hlm Cooperate to live,503499
11,Pichet Group,450000
12,Polylogis,419000
13,French Housing Group,401000
14,Sodearif,365000
15,Efidis,349000
16,Adoma,336800
17,Vilogia,335918
18,Nacarat,281000
19,France-Habitation,238843
