,Year,GDP per capita in U.S. dollars
0,2025*,494.27
1,2024*,480.67
2,2023*,472.88
3,2022*,468.84
4,2021*,470.97
5,2020*,518.47
6,2019*,539.12
7,2018*,533.97
8,2017,495.81
9,2016,525.95
10,2015,592.9
11,2014,721.56
12,2013,731.07
13,2012,578.3
14,2011,457.92
15,2010,410.6
16,2009,399.93
17,2008,418.79
18,2007,368.86
19,2006,331.02
20,2005,299.27
21,2004,271.4
22,2003,272.05
23,2002,258.17
24,2001,234.0
25,2000,210.75
26,1999,224.92
27,1998,230.25
28,1997,294.27
29,1996,327.82
30,1995,304.15
31,1994,317.34
32,1993,266.1
33,1992,234.03
34,1991,268.08
35,1990,224.57
36,1989,414.41
37,1988,461.77
38,1987,287.72
39,1986,337.5
40,1985,460.72
