,Year,Inflation rate compared to previous year
0,2024*,1.47%
1,2023*,1.44%
2,2022*,1.37%
3,2021*,1.27%
4,2020*,0.99%
5,2019*,0.67%
6,2018,0.44%
7,2017,0.58%
8,2016,-0.53%
9,2015,-0.52%
10,2014,1.03%
11,2013,2.36%
12,2012,4.58%
13,2011,5.25%
14,2010,2.82%
15,2009,0.6%
16,2008,6.63%
17,2007,2.11%
18,2006,0.96%
19,2005,0.47%
20,2004,1.67%
21,2003,0.49%
22,2002,-0.39%
23,2001,1.02%
24,2000,1.35%
25,1999,0.02%
26,1998,-0.27%
27,1997,2.02%
28,1996,1.38%
29,1995,1.73%
30,1994,3.1%
31,1993,2.29%
32,1992,2.24%
33,1991,3.44%
34,1990,3.45%
35,1989,2.29%
36,1988,1.52%
37,1987,0.48%
38,1986,-1.38%
39,1985,0.49%
40,1984,2.6%
