,Country,Number of tests performed
0,USA,261874382
1,India,177463405
2,China,160000000
3,Russia,92300000
4,UK,57144355
5,France,36400946
6,Germany,34801593
7,Brazil,28600000
8,Spain,27839319
9,Italy,27139378
10,Turkey,25315565
11,Canada,14180625
12,Colombia,8353073
13,Iran,7885416
14,Indonesia,7577380
15,Poland,7381821
16,Belgium,7052844
17,Pakistan,6923857
18,Philippines,6860584
19,South Africa,6828147
20,Chile,6629287
21,Netherlands,6001738
22,Ukraine,5645178
23,Peru,5581668
24,Argentina,5001234
25,Romania,4868383
26,Iraq,4708871
27,Sweden,4516665
28,Czechia,3880950
29,Mexico,3711777
30,Bangladesh,3286885
