,Year,Inflation rate compared to previous year
0,2024*,2.01%
1,2023*,1.91%
2,2022*,1.81%
3,2021*,1.71%
4,2020*,1.61%
5,2019*,2.5%
6,2018,1.6%
7,2017,1.3%
8,2016,0.11%
9,2015,0.22%
10,2014,0.32%
11,2013,2.56%
12,2012,2.82%
13,2011,2.47%
14,2010,0.93%
15,2009,0.97%
16,2008,2.21%
17,2007,1.59%
18,2006,1.65%
19,2005,1.49%
20,2004,1.38%
21,2003,2.23%
22,2002,3.85%
23,2001,5.11%
24,2000,2.35%
25,1999,2.04%
26,1998,1.78%
27,1997,1.86%
28,1996,1.45%
29,1995,1.35%
30,1994,2.12%
31,1993,1.64%
32,1992,2.84%
33,1991,3.18%
34,1990,2.5%
35,1989,1.1%
36,1988,0.5%
37,1987,-1%
38,1986,-
39,1985,2.3%
40,1984,3.4%
