,Year,Inflation rate compared to previous year
0,2024*,1.9%
1,2023*,1.9%
2,2022*,1.8%
3,2021*,1.6%
4,2020*,1.46%
5,2019*,1.74%
6,2018,2.04%
7,2017,1.87%
8,2016,1.14%
9,2015,0.7%
10,2014,0.21%
11,2013,0.44%
12,2012,0.94%
13,2011,1.36%
14,2010,1.9%
15,2009,1.94%
16,2008,3.35%
17,2007,1.68%
18,2006,1.5%
19,2005,0.84%
20,2004,1.02%
21,2003,2.32%
22,2002,1.94%
23,2001,2.68%
24,2000,1.3%
25,1999,0.57%
26,1998,1.01%
27,1997,1.82%
28,1996,1.02%
29,1995,2.47%
30,1994,2.91%
31,1993,4.69%
32,1992,1.38%
33,1991,8.79%
34,1990,3.2%
35,1989,6.44%
36,1988,5.83%
37,1987,4.19%
38,1986,4.24%
39,1985,7.37%
40,1984,8.04%
