,Country,2015,2020*
0,Italy,1424.2,1601.5
1,Russia,887.7,1079.9
2,Germany,966.6,967.2
3,United Kingdom,737.0,755.2
4,France,683.8,724.8
5,Poland,353.4,407.5
6,Norway,231.5,220.4
7,Finland,201.2,207.4
8,Sweden,181.5,199.3
9,Belgium,193.6,194.0
10,Spain,182.6,193.5
11,Netherlands,142.1,169.2
12,Hungary,116.6,136.3
13,Turkey,96.0,121.7
14,Romania,72.2,101.8
15,Denmark,96.5,98.7
16,Czech Republic,84.7,96.1
17,Switzerland,93.0,92.7
18,Austria,81.7,91.9
19,Ukraine,75.7,87.1
20,Lithuania,45.4,50.6
21,Greece,30.1,43.4
22,Ireland,35.9,38.2
23,Slovenia,33.8,36.6
24,Bulgaria,22.5,25.5
25,Portugal,24.3,24.5
26,Serbia,19.0,21.1
27,Belarus,15.5,17.2
28,Latvia,11.4,13.6
29,Croatia,11.3,11.7
30,Bosnia and Herzegovina,9.2,11.3
31,Estonia,6.7,7.1
32,Georgia,6.1,6.8
33,Macedonia,3.7,4.4
