,Year,Gross domestic product in billion international dollars
0,2021*,4460.55
1,2020*,4160.93
2,2019,4443.57
3,2018,4342.91
4,2017,4176.04
5,2016,4000.24
6,2015,3872.88
7,2014,3767.35
8,2013,3618.63
9,2012,3540.98
10,2011,3459.55
11,2010,3261.15
12,2009,3094.11
13,2008,3256.21
14,2007,3163.47
15,2006,2991.7
16,2005,2797.11
17,2004,2693.01
18,2003,2591.67
19,2002,2562.55
20,2001,2527.73
21,2000,2432.41
22,1999,2312.06
23,1998,2236.97
24,1997,2168.3
25,1996,2094.06
26,1995,2039.8
27,1994,1967.58
28,1993,1881.39
29,1992,1855.95
30,1991,1780.33
31,1990,1639.91
32,1989,1495.17
33,1988,1384.58
34,1987,1289.26
35,1986,1239.92
36,1985,1186.76
37,1984,1125.7
