,association football club,Market value in million euros
0,FC Bayern München,895.2
1,Borussia Dortmund,614.45
2,RasenBallsport Leipzig,527.68
3,Bayer 04 Leverkusen,343.45
4,Borussia Mönchengladbach,340.88
5,Hertha BSC,251.93
6,TSG 1899 Hoffenheim,238.33
7,VfL Wolfsburg,218.75
8,Eintracht Frankfurt,191.7
9,FC Schalke 04,158.53
10,SC Freiburg,111.7
11,SV Werder Bremen,107.25
12,VfB Stuttgart,104.05
13,FC Augsburg,104.03
14,1. FC Köln,101.65
15,1. FSV Mainz 05,95.05
16,Union Berlin,61.13
17,Arminia Bielefeld,45.75
