,Year,Inflation rate compared to previous year
0,2024*,5%
1,2023*,5%
2,2022*,5%
3,2021*,4.69%
4,2020*,3.8%
5,2019,3.18%
6,2018,2.63%
7,2017,5.63%
8,2016,5.46%
9,2015,5.41%
10,2014,3.08%
11,2013,4.91%
12,2012,12.68%
13,2011,15.01%
14,2010,3.72%
15,2009,13.02%
16,2008,12.04%
17,2007,6.09%
18,2006,7.22%
19,2005,8.6%
20,2004,3.67%
21,2003,8.71%
22,2002,-0.3%
23,2001,1.92%
24,2000,3.38%
25,1999,5.76%
26,1998,5.83%
27,1997,7.73%
28,1996,7.52%
29,1995,6.79%
30,1994,5.85%
31,1993,29.97%
32,1992,42.25%
33,1991,20.82%
34,1990,45.4%
35,1989,130.8%
36,1988,166.7%
37,1987,215.4%
38,1986,143.8%
39,1985,100%
40,1984,16.71%
