,Month,Employment rate
0,Oct 20,75.2%
1,Sep 20,75.3%
2,Aug 20,75.6%
3,Jul 20,75.8%
4,Jun 20,75.8%
5,May 20,75.9%
6,Apr 20,76%
7,Mar 20,76.3%
8,Feb 20,76.6%
9,Jan 20,76.5%
10,Dec 19,76.5%
11,Nov 19,76.3%
12,Oct 19,76.2%
13,Sep 19,76%
14,Aug 19,75.9%
15,Jul 19,76.1%
16,Jun 19,76.1%
17,May 19,76%
18,Apr 19,76.1%
19,Mar 19,76.1%
20,Feb 19,76.1%
21,Jan 19,76.1%
22,Dec 18,75.8%
23,Nov 18,75.8%
24,Oct 18,75.7%
25,Sep 18,75.6%
26,Aug 18,75.6%
27,Jul 18,75.5%
28,Jun 18,75.5%
29,May 18,75.6%
30,Apr 18,75.6%
31,Mar 18,75.6%
32,Feb 18,75.4%
33,Jan 18,75.3%
34,Dec 17,75.2%
35,Nov 17,75.3%
36,Oct 17,75.1%
37,Sep 17,75%
38,Aug 17,75.1%
39,Jul 17,75.3%
40,Jun 17,75.1%
41,May 17,74.9%
42,Apr 17,74.8%
43,Mar 17,74.8%
44,Feb 17,74.6%
45,Jan 17,74.5%
46,Dec 16,74.6%
47,Nov 16,74.4%
48,Oct 16,74.4%
49,Sep 16,74.4%
50,Aug 16,74.5%
51,Jul 16,74.5%
52,Jun 16,74.4%
53,May 16,74.4%
54,Apr 16,74.2%
55,Mar 16,74.1%
56,Feb 16,74.1%
57,Jan 16,74.1%
58,Dec 15,74.1%
59,Nov 15,74%
60,Oct 15,74%
61,Sep 15,73.8%
62,Aug 15,73.6%
63,Jul 15,73.5%
64,Jun 15,73.4%
65,May 15,73.3%
66,Apr 15,73.4%
67,Mar 15,73.4%
68,Feb 15,73.4%
69,Jan 15,73.3%
70,Dec 14,73.2%
71,Nov 14,73%
72,Oct 14,73%
73,Sep 14,73%
74,Aug 14,73%
75,Jul 14,72.8%
76,Jun 14,72.8%
77,May 14,72.9%
78,Apr 14,72.7%
79,Mar 14,72.5%
80,Feb 14,72.4%
81,Jan 14,72.1%
82,Dec 13,72%
83,Nov 13,72%
84,Oct 13,71.9%
85,Sep 13,71.7%
86,Aug 13,71.5%
87,Jul 13,71.5%
88,Jun 13,71.3%
89,May 13,71.2%
90,Apr 13,71.2%
91,Mar 13,71.2%
92,Feb 13,71.2%
93,Jan 13,71.4%
94,Dec 12,71.4%
95,Nov 12,71.3%
96,Oct 12,71.1%
97,Sep 12,71.1%
98,Aug 12,71.2%
99,Jul 12,71.1%
100,Jun 12,70.9%
101,May 12,70.7%
102,Apr 12,70.5%
103,Mar 12,70.5%
104,Feb 12,70.3%
105,Jan 12,70.2%
106,Dec 11,70.2%
107,Nov 11,70.1%
108,Oct 11,70.1%
109,Sep 11,70.1%
110,Aug 11,70.2%
111,Jul 11,70.2%
112,Jun 11,70.5%
113,May 11,70.5%
114,Apr 11,70.5%
115,Mar 11,70.5%
116,Feb 11,70.6%
117,Jan 11,70.5%
118,Dec 10,70.4%
119,Nov 10,70.3%
120,Oct 10,70.5%
121,Sep 10,70.7%
122,Aug 10,70.6%
123,Jul 10,70.6%
124,Jun 10,70.4%
125,May 10,70.4%
126,Apr 10,70.2%
127,Mar 10,70.2%
128,Feb 10,70.3%
129,Jan 10,70.4%
130,Dec 09,70.6%
131,Nov 09,70.6%
132,Oct 09,70.6%
133,Sep 09,70.6%
134,Aug 09,70.7%
135,Jul 09,70.6%
136,Jun 09,70.8%
137,May 09,71%
138,Apr 09,71.4%
139,Mar 09,71.7%
140,Feb 09,71.9%
141,Jan 09,72.2%
142,Dec 08,72.2%
143,Nov 08,72.3%
144,Oct 08,72.3%
145,Sep 08,72.4%
146,Aug 08,72.6%
147,Jul 08,72.8%
148,Jun 08,72.9%
149,May 08,73%
150,Apr 08,73%
151,Mar 08,73%
