,Country,2015,2016,2017
0,Germany,45071,45804,46475.0
1,Italy,37351,37876,38520.0
2,United Kingdom,31214,31834,32201.0
3,France,32000,32074,32006.0
4,Spain,22356,22877,23500.0
5,Poland,20723,21675,22503.0
6,Turkey,10589,11318,12036.0
7,Netherlands,8101,8223,8373.0
8,Romania,5155,5472,5998.0
9,Belgium,5662,5731,5799.0
10,Czech Republic,5115,5308,5538.0
11,Greece,5160,5236,5283.0
12,Portugal,4538,4850,5059.0
13,Austria,4748,4822,4899.0
14,Sweden,4669,4768,4845.0
15,Switzerland,4458,4524,4571.0
16,Hungary,3197,3313,3472.0
17,Finland,3258,3346,3423.0
18,Bulgaria,3162,3144,2771.0
19,Norway,2610,2663,2719.0
20,Denmark,2391,2466,2530.0
21,Slovakia,2035,2122,2223.0
22,Republic of Ireland,2007,2049,2087.0
23,Serbia,1835,1888,1969.0
24,Croatia *,1500,1553,1596.0
25,Lithuania,1244,1299,1357.0
26,Slovenia,1079,1097,1118.0
27,Estonia,677,703,726.0
28,Latvia,679,664,690.0
29,Cyprus,488,508,526.6
30,FYR Macedonia,384,395,403.0
31,Luxembourg,381,391,403.0
32,Malta,275,283,292.0
33,Iceland,226,240,250.0
34,Montenegro,176,193,207.0
35,Liechtenstein,29,29,29.0
