,Year,GDP per capita in U.S. dollars
0,2025*,57306.95
1,2024*,55822.93
2,2023*,54216.34
3,2022*,52306.48
4,2021*,50050.96
5,2020*,43813.77
6,2019,46236.67
7,2018,47631.45
8,2017,44364.3
9,2016,42090.68
10,2015,41147.26
11,2014,47550.23
12,2013,46784.99
13,2012,44977.07
14,2011,47951.07
15,2010,44691.38
16,2009,45176.14
17,2008,48850.72
18,2007,44638.2
19,2006,39020.11
20,2005,37143.31
21,2004,35711.78
22,2003,30857.16
23,2002,25186.0
24,2001,23189.55
25,2000,23298.47
26,1999,25508.41
27,1998,25602.96
28,1997,25086.13
29,1996,27747.95
30,1995,28610.84
31,1994,23750.96
32,1993,21839.94
33,1992,22945.23
34,1991,20673.83
35,1990,20227.66
36,1989,16184.35
37,1988,16094.35
38,1987,14819.38
39,1986,11937.38
40,1985,8614.53
