,Quarter,Unit shipments in thousands
0,4Q '19*,2905.3
1,3Q '19',2748.4
2,2Q '19',2811.7
3,1Q '19*,2505.2
4,4Q '18*,2774.9
5,3Q '18',2612.6
6,2Q '18',2690.6
7,1Q '18*,2406.6
8,4Q '17,2655.4
9,3Q '17,2512.1
10,2Q '17,2594.6
11,1Q '17,2329.7
12,4Q '16,2626.5
13,3Q '16,2359.8
14,2Q '16,2480.9
15,1Q '16,2199.2
16,4Q '15,2193.0
17,3Q '15,2446.4
18,2Q '15,2436.5
19,1Q '15,2042.9
20,4Q '14,2272.1
21,3Q '14,2168.7
22,2Q '14,2287.8
23,1Q '14,1902.0
24,4Q '13,2081.9
25,3Q '13,2039.5
26,2Q '13,2194.7
27,1Q '13,1859.1
28,4Q '12,1883.9
29,3Q '12,1791.5
30,2Q '12,1901.6
31,1Q '12,1732.2
