,Year,Inflation rate compared to previous year
0,2025*,6.49%
1,2024*,6.53%
2,2023*,6.52%
3,2022*,7.28%
4,2021*,8.84%
5,2020,10.74%
6,2019,6.74%
7,2018,3.93%
8,2017,4.15%
9,2016,2.86%
10,2015,4.53%
11,2014,8.62%
12,2013,7.36%
13,2012,11%
14,2011,13.66%
15,2010,10.1%
16,2009,19.56%
17,2008,12%
18,2007,7.77%
19,2006,7.92%
20,2005,9.28%
21,2004,4.57%
22,2003,3.1%
23,2002,3.54%
24,2001,4.41%
25,2000,3.59%
26,1999,5.74%
27,1998,7.81%
28,1997,11.81%
29,1996,10.78%
30,1995,13.02%
31,1994,11.27%
32,1993,9.83%
33,1992,4.85%
34,1991,12.63%
35,1990,9.05%
36,1989,7.88%
37,1988,8.84%
38,1987,4.69%
39,1986,3.47%
40,1985,5.56%
