,Country,Number of sites
0,Italy,55
1,Spain,48
2,Germany,46
3,France,45
4,United Kingdom,32
5,Russia,29
6,Greece,18
7,Turkey,18
8,Portugal,17
9,Poland,16
10,Sweden,15
11,Czechia,14
12,Belgium,13
13,Switzerland,12
14,Netherlands,10
15,Austria,10
16,Denmark,10
17,Bulgaria,10
18,Croatia,10
19,Norway,8
20,Hungary,8
21,Romania,8
22,Ukraine,7
23,Slovakia,7
24,Finland,7
25,Serbia,5
26,Slovenia,4
27,Albania,4
28,Belarus,4
29,Montenegro,4
30,Lithuania,4
31,Malta,3
32,Cyprus,3
33,Iceland,3
34,Bosnia and Herzegovina,3
35,Ireland,2
36,Latvia,2
37,Andorra,1
38,Luxembourg,1
39,North Macedonia,1
