,Year,Inflation rate compared to previous year
0,2025*,3.16%
1,2024*,3.18%
2,2023*,3.97%
3,2022*,4.71%
4,2021*,3.9%
5,2020*,3.37%
6,2019*,3.68%
7,2018*,4.67%
8,2017*,5.44%
9,2016*,6.67%
10,2015,6%
11,2014,5.22%
12,2013,4.96%
13,2012,4.54%
14,2011,4.44%
15,2010,5.1%
16,2009,6.91%
17,2008,10.77%
18,2007,0.91%
19,2006,2.37%
20,2005,1.78%
21,2004,2.16%
22,2003,14.71%
23,2002,11.8%
24,2001,9.3%
25,2000,15.6%
26,1999,14.93%
27,1998,13.59%
28,1997,3.94%
29,1996,11.63%
30,1995,17.28%
31,1994,2.85%
32,1993,4.98%
33,1992,4.31%
34,1991,6.97%
35,1990,6.95%
36,1989,4.48%
37,1988,5.45%
38,1987,3.34%
39,1986,5.45%
40,1985,3.71%
