,Month,Number of Tumblr blogs in millions
0,Jan '20,488.1
1,Oct '19,480.1
2,Jul '19,471.6
3,Apr '19,463.5
4,Jan '19,456.1
5,Oct '18,441.4
6,Jul '18,425.7
7,Apr '18,409.0
8,Jan '18,391.9
9,Oct '17,373.0
10,Jul '17,357.7
11,Apr '17,345.0
12,Jan '17,332.8
13,Oct '16,319.8
14,Jul '16,305.9
15,Apr '16,291.7
16,Jan '16,275.9
17,Oct '15,260.5
18,Jul '15,246.6
19,Apr '15,227.1
20,Jan '15,220.8
21,Oct '14,207.3
22,Jul '14,195.1
23,Apr '14,181.1
24,Jan '14,166.3
25,Oct '13,141.4
26,Jul '13,122.4
27,Apr '13,101.8
28,Jan '13,88.6
29,Oct '12,76.4
30,Jul '12,62.6
31,Mar '12,50.0
32,Sep '11,28.0
33,May '11,17.5
