,Response,Share of respondents
0,Continued to work (in total),64%
1,Working in spheres where limitations did not apply***,20%
2,Management said all employees will work as usual,25%
3,"Management let employees choose, protecting the salary",11%
4,"Individual entrepreneurs, freelancers, self-employed",8%
5,Will not work (in total),34%
6,Management sent all employees to the paid vacations,16%
7,Were sent on unpaid vacations,8%
8,Were already cut due to the current crisis,7%
9,Lost jobs as employers went bankrupt/ closed down due to the crisis,3%
