,Leading companies in Stockholm county,Turnover in billion SEK
0,"Ericsson, Telefon AB LM",211
1,H & M Hennes & Mauritz AB,210
2,Skanska AB,172
3,Vattenfall AB,157
4,Scania CV AB,137
5,Scania AB,137
6,"Electrolux, AB",124
7,Essity AB (publ),119
8,ICA Gruppen AB,115
9,Corral Petroleum Holdings AB,104
10,Securitas AB,101
11,Sandvik AB,100
12,Atlas Copco AB,95
13,Nordea Bank AB,93
14,Assa Abloy AB,84
15,Telia Company AB,84
16,Axel Johnson Holding AB,82
17,Axel Johnson AB,82
18,SSAB AB,75
19,NCC AB,57
