,basketball team,Concession stand price in U.S. dollars
0,Miami Heat,7.0
1,New York Knicks,6.5
2,Chicago Bulls,6.25
3,Houston Rockets,6.0
4,Portland Trail Blazers,6.0
5,Brooklyn Nets,6.0
6,Golden State Warriors,6.0
7,Los Angeles Clippers,6.0
8,Atlanta Hawks,6.0
9,Los Angeles Lakers,5.75
10,Boston Celtics,5.5
11,Toronto Raptors,5.43
12,Indiana Pacers,5.25
13,Philadelphia 76ers,5.25
14,Minnessota Timberwolves,5.0
15,San Antonio Spurs,5.0
16,Milwaukee Bucks,5.0
17,NBA League Average,4.96
18,Denver Nuggets,4.75
19,Charlotte Hornets,4.5
20,Detroit Pistons,4.5
21,Orlando Magic,4.25
22,Washington Wizards,4.0
23,Memphis Grizzlies,4.0
24,Sacramento Kings,4.0
25,New Orleans Pelicans,4.0
26,Dallas Mavericks,3.5
27,Oklahoma City Thunder,3.5
28,Phoenix Suns,3.5
29,Utah Jazz,3.5
30,Cleveland Cavaliers,3.0
