,Static and dynamic indicators,Economic effect in million U.S. dollars
0,"Assault, lost productivity (dynamic)",178427.1
1,"Incarceration, lost work (dynamic)",71009.66
2,"Police, wages (static)",56394.99
3,"Homicide, lost productivity (dynamic)",48555.81
4,"Incarceration, government costs (static)",41684.1
5,"Assault, medical costs (static)",37976.99
6,"Rape, lost productivity (dynamic)",20498.53
7,"Legal and judicial, government costs (static)",5702.21
8,"Robbery, property damage (static)",489.95
9,"Homicide, medical costs (static)",91.62
