,Year,GDP per capita in U.S. dollars
0,2025*,33128.83
1,2024*,31493.96
2,2023*,29871.4
3,2022*,28245.3
4,2021*,26377.58
5,2020*,22985.86
6,2019,23757.62
7,2018,23181.22
8,2017,20451.24
9,2016,18444.69
10,2015,17531.06
11,2014,20387.09
12,2013,19078.21
13,2012,17431.54
14,2011,17470.84
15,2010,14672.33
16,2009,14771.01
17,2008,18162.46
18,2007,16606.57
19,2006,12613.02
20,2005,10352.25
21,2004,8859.48
22,2003,7186.94
23,2002,5325.04
24,2001,4509.3
25,2000,4084.36
26,1999,4129.79
27,1998,4055.0
28,1997,3623.81
29,1996,3351.76
30,1995,2642.87
