,Country,Number of days
0,Greece,20
1,Lithuania,20
2,Latvia,20
3,Liechtenstein,21
4,Slovenia,22
5,Croatia,22
6,Bulgaria,22
7,Sri Lanka,23
8,Austria,23
9,Serbia,23
10,Georgia,23
11,Slovakia,24
12,Hungary,24
13,Poland,26
14,Belize,26
15,Cyprus,28
16,Azerbaijan,29
17,Jordan,30
18,Bosnia and Herzegovina,33
19,Malta,33
20,Luxembourg,34
21,Switzerland,34
22,Tunisia,34
23,Czechia,36
24,Estonia,36
25,Portugal,38
26,Germany,39
27,North Macedonia,40
28,Ukraine,40
29,Iceland,41
30,Palestine,42
31,Uganda,44
32,Montenegro,45
33,Albania,45
34,Romania,46
35,Armenia,46
36,Lebanon,47
37,Myanmar,48
38,Nepal,49
39,Morocco,49
40,Malaysia,52
41,Syria,53
42,Russia,60
43,Kenya,61
44,Libya,62
45,Mozambique,63
46,Botswana,63
47,Jamaica,65
48,Paraguay,68
49,Costa Rica,72
50,Argentina,73
51,Angola,73
52,Turkey,74
53,Iran,75
54,Guyana,77
55,Moldova,78
56,Israel,78
57,Cape Verde,79
58,Rwanda,80
59,Bahamas,81
60,Uruguay,82
61,Trinidad and Tobago,85
62,Indonesia,86
63,Kosovo,91
64,Venezuela,92
65,Philippines,92
66,Togo,97
67,Oman,97
68,India,98
69,Ecuador,98
70,Ethiopia,99
71,Namibia,104
72,Colombia,105
73,Uzbekistan,107
74,Papua New Guinea,108
75,Japan,109
76,Suriname,112
77,Bolivia,112
78,Zimbabwe,113
79,World,113
80,Iraq,114
81,Belarus,115
82,Maldives,115
83,Australia,117
84,Bahrain,118
85,Mexico,119
86,Gambia,120
87,El Salvador,121
88,South Africa,121
89,Eswatini,123
90,Bangladesh,123
91,Vietnam,124
92,Panama,125
93,Guatemala,126
94,Kazakhstan,126
95,Algeria,127
96,Honduras,127
97,Zambia,130
98,Madagascar,130
99,Lesotho,130
100,Saudi Arabia,130
101,Dominican Republic,133
102,Kuwait,134
103,Brazil,137
104,United States,139
105,Peru,140
106,Malawi,141
107,Ghana,141
108,Senegal,145
109,Guinea,147
110,Congo,147
111,Sudan,148
112,Kyrgyzstan,149
113,South Korea,150
114,Chile,150
115,Afghanistan,156
116,Benin,158
117,Liberia,158
118,Haiti,160
119,Egypt,160
120,Qatar,164
121,Democratic Republic of Congo,164
122,Equatorial Guinea,165
123,Nigeria,166
124,Pakistan,166
125,Nicaragua,167
126,Cote d'Ivoire,167
127,Yemen,168
128,Guinea-Bissau,168
129,United Arab Emirates,171
130,Mauritania,174
131,Central African Republic,174
132,Gabon,179
133,Comoros,179
134,South Sudan,179
135,Cameroon,182
136,Mali,185
137,Djibouti,189
138,France,194
139,Canada,202
140,Sao Tome and Principe,203
141,Tajikistan,204
142,Sierra Leone,206
143,Somalia,208
144,Italy,208
145,Chad,211
146,Belgium,212
147,Sweden,216
148,United Kingdom,216
149,Niger,221
150,Cuba,224
151,Finland,225
152,Netherlands,225
153,Denmark,226
154,Singapore,228
155,Tanzania,229
156,Spain,230
157,Ireland,233
158,Andorra,234
159,Norway,235
160,New Zealand,237
161,Burkina Faso,240
162,Antigua and Barbuda,242
163,Barbados,248
164,Thailand,249
165,Mauritius,257
166,San Marino,258
167,Taiwan,259
168,China,296
