,most shared global online ads,Number of shares in thousands
0,John Lewis – #BusterTheBoxer,1949.39
1,Channel 4 – We Are The Superhumans,1851.53
2,Shell – Best Day Of My Life | #makethefuture,1683.07
3,Vodafone – Ramadan 2016,1435.35
4,OK Go & S7 Airlines – Upside Down and Inside Out,1240.84
5,Nike – The Switch,969.65
6,Doritos – Ultrasound,893.47
7,Ariel – #sharetheload,877.56
8,Cadbury’s Dairy Milk – Aliens,852.9
9,7 Eleven Thailand – Teachers,792.33
10,McDonald’s Philippines – Tuloy Pa Rin,699.4
11,Nike Basketball – The Conductor,641.36
12,Volkswagen – Trailer Assist,641.0
13,Samsung – Introducing Samsung Galaxy S7,616.13
14,OK Go & Morton Salt – The One Moment,608.42
15,Knorr – Spirit of Ramadan,590.39
16,Momondo – The DNA Journey,585.9
17,Facebook – Aquila Test Flight,564.12
18,Mentos Indonesia – Mentos Mentors,548.33
19,Nintendo – First Look at Nintendo Switch,544.59
