,bank,CET1 ratio
0,OP Financial Group (Finland),19.5%
1,DNB ASA (Norway),18.56%
2,Svenska Handelsbanken AB (Sweden),18.53%
3,ABN AMRO Bank NV (Netherlands),18.13%
4,Skandinaviska Enskilda Banken AB (Sweden),17.59%
5,Danske Bank A/S (Denmark),17.12%
6,Rabobank (Netherlands),16.3%
7,Royal Bank of Scotland Group plc (UK),16.22%
8,KBC Group NV (Netherlands),16.1%
9,Credit Agricole Group (France),15.94%
10,Groupe BPCE (France),15.64%
11,Belfius Banque SA (Belgium),15.57%
12,HSBC Holdings plc (UK),14.6%
13,ING Groep NV (Netherlands),14.57%
14,DZ Bank AG (Germany),14.4%
