,Year,Inflation rate compared to previous year
0,2024*,2.98%
1,2023*,2.99%
2,2022*,3.06%
3,2021*,3.13%
4,2020*,3.28%
5,2019*,3.21%
6,2018,3.2%
7,2017,3.81%
8,2016,3.53%
9,2015,6.36%
10,2014,6.4%
11,2013,6.41%
12,2012,3.98%
13,2011,5.34%
14,2010,5.14%
15,2009,5.05%
16,2008,9.78%
17,2007,6.66%
18,2006,13.1%
19,2005,10.46%
20,2004,6.06%
21,2003,6.77%
22,2002,11.78%
23,2001,11.5%
24,2000,3.77%
25,1999,20.75%
26,1998,58.02%
27,1997,6.19%
28,1996,8.38%
29,1995,9.43%
30,1994,8.52%
31,1993,9.69%
32,1992,7.51%
33,1991,9.37%
34,1990,7.84%
35,1989,6.42%
36,1988,8.04%
37,1987,9.27%
38,1986,5.83%
39,1985,4.73%
40,1984,10.34%
