,ice hockey team,Facebook fans in millions
0,NHL - league account,4.66
1,Chicago Blackhawks,2.82
2,Boston Bruins,2.19
3,Pittsburgh Penguins,2.04
4,Detroit Red Wings,2.0
5,Montreal Canadiens,1.63
6,New York Rangers,1.52
7,Toronto Maple Leafs,1.37
8,Philadelphia Flyers,1.17
9,Vancouver Canucks,1.02
10,Los Angeles Kings,0.95
11,San Jose Sharks,0.94
12,Washington Capitals,0.8
13,St. Louis Blues,0.77
14,Colorado Avalanche,0.76
15,Minnesota Wild,0.67
16,Edmonton Oilers,0.58
17,Tampa Bay Lightning,0.56
18,Buffalo Sabres,0.5
19,New Jersey Devils,0.48
20,Dallas Stars,0.48
21,Anaheim Ducks,0.42
22,Nashville Predators,0.41
23,Winnipeg Jets,0.39
24,Calgary Flames,0.38
25,Ottawa Senators,0.33
26,Columbus Blue Jackets,0.32
27,New York Islanders,0.3
28,Arizona Coyotes,0.3
29,Carolina Hurricanes,0.29
30,Florida Panthers,0.2
