,Shakespeare's play,Number of words
0,Henry VI - Part 2,60
1,Henry VI - Part 1,54
2,Richard III,53
3,Antony and Cleopatra,53
4,Henry IV - Part 2,52
5,Coriolanus,49
6,Timon of Athens,48
7,Julius Caesar,47
8,Henry V,44
9,"Pericles, Prince of Tyre",43
10,Henry VIII,43
11,Henry VI - Part 3,43
12,Macbeth,38
13,Cymbeline,37
14,Richard II,34
15,The Taming of the Shrew,34
16,Henry IV - Part 1,34
17,The Winter's Tale,33
18,Romeo and Juliet,32
19,Hamlet,30
20,Troilus and Cressida,27
21,King John,27
22,As You Like It,26
23,King Lear,25
24,Othello,25
25,Titus Andronicus,24
26,The Merry Wives of Windsor,23
27,Measure for Measure,23
28,Much Ado About Nothing,23
29,The Merchant of Venice,22
30,All's Well That Ends Well,22
31,A Midsummer Night's Dream,22
32,Love's Labour's Lost,19
33,The Comedy of Errors,19
34,The Tempest,19
35,Twelfth Night,18
36,The Two Gentlemen of Verona,17
