,Month,Index number of sales per week
0,Jul 20,95.0
1,Jun 20,84.0
2,May 20,33.3
3,Apr 20,52.9
4,Mar 20,57.1
5,Feb 20,84.7
6,Jan 20,78.1
7,Dec 19,106.0
8,Nov 19,90.6
9,Oct 19,92.9
10,Sep 19,95.3
11,Aug 19,94.3
12,Jul 19,99.9
13,Jun 19,94.8
14,May 19,99.0
15,Apr 19,92.2
16,Mar 19,89.9
17,Feb 19,97.5
18,Jan 19,99.8
19,Dec 18,93.3
20,Nov 18,115.1
21,Oct 18,99.8
22,Sep 18,100.1
23,Aug 18,99.4
24,Jul 18,97.4
25,Jun 18,94.2
26,May 18,97.7
27,Apr 18,98.0
28,Mar 18,95.5
29,Feb 18,93.5
30,Jan 18,97.4
31,Dec 17,102.9
32,Nov 17,99.0
33,Oct 17,100.1
34,Sep 17,98.9
35,Aug 17,83.2
36,Jul 17,93.0
37,Jun 17,88.6
38,May 17,102.3
39,Apr 17,108.0
40,Mar 17,107.9
41,Feb 17,103.0
42,Jan 17,101.4
43,Dec 16,101.1
44,Nov 16,114.8
45,Oct 16,103.3
46,Sep 16,99.5
47,Aug 16,104.3
48,July 16,101.4
49,June 16,103.9
50,May 16,92.6
51,Apr 16,91.2
52,Mar 16,97.3
53,Feb 16,92.7
54,Jan 16,97.5
