,Year,Population in thousands
0,2020,146745.1
1,2019,146780.7
2,2018,146880.4
3,2017,146804.4
4,2016,146544.7
5,2015,146267.3
6,2014,143666.9
7,2013,143347.1
8,2012,143056.4
9,2011,142865.4
10,2010**,142856.5
11,2009,142737.2
12,2008,142747.5
13,2007,142862.7
14,2006,143236.6
15,2005,143801.0
16,2004,144333.6
17,2003,144963.6
18,2002**,145166.7
19,2002,145649.3
20,2001,146303.6
21,2000,146890.1
22,1999,147539.4
23,1998,147802.1
24,1997,148028.6
25,1996,148291.6
26,1995,148459.9
27,1990,147665.1
28,1989**,147021.9
29,1985,142539.0
30,1980,138126.6
31,1979**,137409.9
32,1975,133633.9
33,1970**,129941.2
34,1965,126309.1
35,1960,119045.8
36,1959**,117534.3
