,State,"Rate per 100,000 inhabitants"
0,District of Columbia,22.8
1,Louisiana,11.4
2,Missouri,9.9
3,Maryland,8.1
4,New Mexico,8.0
5,Alabama,7.8
6,South Carolina,7.7
7,Tennessee,7.4
8,Arkansas,7.2
9,Illinois,6.9
10,Nevada,6.7
11,Indiana,6.5
12,Alaska,6.4
13,Pennsylvania,6.1
14,Georgia,6.1
15,North Carolina,6.0
16,Mississippi,5.7
17,Michigan,5.5
18,Kentucky,5.5
19,Florida,5.2
20,Oklahoma,5.2
21,Arizona,5.1
22,Delaware,5.0
23,United States,5.0
24,Ohio,4.8
25,Virginia,4.6
26,Texas,4.6
27,California,4.4
28,Kansas,3.9
29,West Virginia,3.7
30,Colorado,3.7
31,New Jersey,3.2
32,Montana,3.2
33,Washington,3.1
34,Wisconsin,3.0
35,New York,2.9
36,Hawaii,2.5
37,North Dakota,2.4
38,Nebraska,2.3
39,Connecticut,2.3
40,Wyoming,2.3
41,Idaho,2.0
42,Massachusetts,2.0
43,Oregon,2.0
44,Minnesota,1.9
45,Utah,1.9
46,Maine,1.8
47,Iowa,1.7
48,Vermont,1.6
49,New Hampshire,1.5
50,Rhode Island,1.5
51,South Dakota,1.4
