,Year,Inflation rate compared to previous year
0,2025*,1.5%
1,2024*,1.5%
2,2023*,1.5%
3,2022*,1.92%
4,2021*,2%
5,2020*,1.99%
6,2019,1.02%
7,2018,0.46%
8,2017,1.14%
9,2016,1.19%
10,2015,0.86%
11,2014,-1.09%
12,2013,0.71%
13,2012,1.42%
14,2011,3.4%
15,2010,1.23%
16,2009,-2.25%
17,2008,6.34%
18,2007,5.86%
19,2006,2.11%
20,2005,1.71%
21,2004,0.52%
22,2003,-0.05%
23,2002,2.4%
24,2001,3.05%
25,2000,0.75%
26,1999,0.82%
27,1998,0.99%
28,1997,1.78%
29,1996,2.84%
30,1995,8.08%
31,1994,32.1%
32,1993,-0.74%
33,1992,-0.01%
34,1991,-1.75%
35,1990,0.33%
36,1989,0.45%
37,1988,-1.82%
38,1987,-4.13%
39,1986,6.12%
40,1985,13.04%
