,Ethnicity,Eat at least once a month,Eat a few times a year
0,Italian,61%,26%
1,Mexican,50%,31%
2,Chinese,36%,42%
3,Regional American,30%,28%
4,Mediterranean,17%,24%
5,Sushi / sashimi,13%,17%
6,Fusion,13%,24%
7,Japanese (other than sushi),13%,28%
8,Regional ethnic,11%,23%
9,Spanish,9%,22%
10,Middle Eastern,9%,35%
11,Southwest Asian,9%,16%
12,Belgian,8%,27%
13,Thai,8%,17%
14,German,7%,30%
15,Franch,7%,27%
16,Vietnamese,7%,10%
17,Greek,6%,24%
18,Indian,6%,12%
19,Latin American,6%,43%
20,Caribbean,5%,17%
21,Korean,4%,8%
22,Russian / Eastern European,4%,13%
23,Peruvian,4%,11%
24,Scandinavian,3%,9%
25,Brazilian / Argentine,2%,8%
26,Ethiopian,2%,2%
