,Year,Number of persons tested
0,27 Jan,20
1,28 Jan,8
2,29 Jan,5
3,30 Jan,1
4,31 Jan,3
5,1 Feb,1
6,2 Feb,5
7,3 Feb,5
8,4 Feb,5
9,5 Feb,0
10,6 Feb,3
11,7 Feb,6
12,8 Feb,0
13,9 Feb,2
14,10 Feb,8
15,11 Feb,2
16,12 Feb,1
17,13 Feb,1
18,14 Feb,0
19,15 Feb,1
20,16 Feb,1
21,17 Feb,2
22,18 Feb,0
23,19 Feb,2
24,20 Feb,0
25,21 Feb,0
26,22 Feb,1
27,23 Feb,3
28,24 Feb,12
29,25 Feb,14
30,26 Feb,23
31,27 Feb,35
32,28 Feb,23
33,29 Feb,7
34,1 Mar,11
35,2 Mar,51
36,3 Mar,78
37,4 Mar,67
38,5 Mar,76
39,6 Mar,111
40,7 Mar,193
41,8 Mar,141
42,9 Mar,265
43,10 Mar,165
44,11 Mar,458
45,12 Mar,537
46,13 Mar,845
47,14 Mar,986
48,15 Mar,1028
49,16 Mar,1319
50,17 Mar,1294
51,18 Mar,1756
52,19 Mar,2259
53,20 Mar,2121
54,21 Mar,1882
55,22 Mar,1801
56,23 Mar,2291
57,24 Mar,3062
58,25 Mar,4107
59,26 Mar,4633
60,27 Mar,5359
61,28 Mar,4224
62,29 Mar,2848
63,30 Mar,5159
64,31 Mar,6661
65,1 Apr,6102
66,2 Apr,6673
67,3 Apr,7398
68,4 Apr,5837
69,5 Apr,4812
70,6 Apr,6435
71,7 Apr,8173
72,8 Apr,8469
73,9 Apr,8180
74,10 Apr,5702
75,11 Apr,4891
76,12 Apr,3250
77,13 Apr,3215
78,14 Apr,6173
79,15 Apr,8476
80,16 Apr,8381
81,17 Apr,8288
82,18 Apr,5605
83,19 Apr,4027
84,20 Apr,6567
85,21 Apr,8341
86,22 Apr,8818
87,23 Apr,7901
88,24 Apr,7129
89,25 Apr,4446
90,26 Apr,3381
91,27 Arp,7754
92,28 Apr,8741
93,29 Apr,7322
