,Brand (top influencer),Number of social media actions per post
0,Valentino (Demi Lovato),1385467
1,Tory Burch (Shay Mitchell),134751
2,Tod's (Naomi Campbell),40647
3,Tiffany & Co. (Reese Witherspoon),77643
4,Salvatore Ferragamo (Nina Dobrev),601316
5,Saint Laurent (J Balvin),181475
6,Prada (Chiara Ferragni),116169
7,Michael Kors (Blake Lively),759670
8,Louis Vuitton (Kevin Ma),26689
9,Hugo Boss (Mariano Di Vaio),91041
10,Hermes (Xenia Tchoumi),27692
11,Gucci (Nina Dobrev),458444
12,Givenchy (Nicki Minaj),629753
13,Fendi (Gigi Hadid),653272
14,Dolce & Gabbana (Cameron Dallas),742342
15,Dior (Rihanna),629179
16,Chanel (Cara Delevigne),662894
17,Celine (Kim Kardashian),1182087
18,Cartier (Nikkie Tutorials),290287
19,Burberry (Dove Cameron),447287
20,Bulgari (Bella Hadid),591423
21,Bottega Veneta (Kris Jenner),102457
22,Balenciaga (Nicki Minaj),341862
23,Average,442341
