,Quarter,Revenue in million U.S. dollars
0,Q4 '19,268.82
1,Q3 '19,262.47
2,Q2 '19,246.96
3,Q1 '19,235.94
4,Q4 '18,243.74
5,Q3 '18,241.1
6,Q2 '18,234.86
7,Q1 '18,223.07
8,Q4 '17,219.44
9,Q3 '17,223.3
10,Q2 '17,209.9
11,Q1 '17,198.2
12,Q4 '16,194.8
13,Q3 '16,186.2
14,Q2 '16,173.4
15,Q1 '16,158.61
16,Q4 '15,153.73
17,Q3 '15,143.6
18,Q2 '15,133.9
19,Q1 '15,118.5
20,Q4 '14,109.9
21,Q3 '14,102.5
22,Q2 '14,88.8
23,Q1 '14,76.41
24,Q4 '13,70.7
25,Q3 '13,61.18
26,Q2 '13,55.0
27,Q1 '13,46.1
28,Q4 '12,41.16
29,Q3 '12,36.4
30,Q2 '12,32.65
31,Q1 '12,27.39
32,Q4 '11,24.91
33,Q3 '11,22.3
34,Q2 '11,19.58
35,Q1 '11,16.5
36,Q4 '10,15.27
37,Q3 '10,12.59
38,Q2 '10,10.73
39,Q1 '10,9.14
