,Year,GDP per capita in U.S. dollars
0,2025,34734.97
1,2024,34197.87
2,2023,33657.07
3,2022,33126.53
4,2021,32686.18
5,2020,31947.92
6,2019,39179.88
7,2018,40479.47
8,2017,38031.54
9,2016,36226.23
10,2015,37380.57
11,2014,43340.02
12,2013,43197.43
13,2012,42723.58
14,2011,41194.73
15,2010,35064.26
16,2009,30920.45
17,2008,39074.84
18,2007,41472.29
19,2006,44313.59
20,2005,43988.67
21,2004,39304.51
22,2003,35017.31
23,2002,32790.71
24,2001,32621.29
25,2000,34688.98
26,1999,27321.04
27,1998,25897.65
28,1997,29523.49
29,1996,29058.86
30,1995,26394.42
31,1994,25762.53
32,1993,25654.37
33,1992,25960.97
34,1991,25847.41
35,1990,26621.51
36,1989,20478.53
37,1988,18435.2
38,1987,21644.07
39,1986,20533.02
40,1985,27036.0
