,Response,Percentage of respondents
0,To get in shape/stay in shape/stay healthy,63%
1,For overall health/well-being,60%
2,It's at a convenient location to me,59%
3,"The variety of equipment, strength and cardiovascular equipment",42%
4,"To get my workout in, rather than to socialize",37%
5,To make progress with my personal goals,36%
6,Access to group exercise classes,29%
7,To have fun,25%
8,My friends and family work out at the health club,23%
9,Access to fitness professionals,21%
10,The social aspects of the health club,20%
11,I feel obligated to go to the health club because of the money I spend on my membership,12%
