,Industry,Real value added in billion chained (2012) U.S. dollars
0,"Finance, insurance, real estate, rental, and leasing",43.73
1,Manufacturing,33.95
2,Professional and business services,29.16
3,Government and government enterprises,26.71
4,"Educational services, health care, and social assistance",21.17
5,Retail trade,12.1
6,Wholesale trade,11.76
7,Information,10.44
8,"Arts, entertainment, recreation, accommodation, and food services",8.98
9,Construction,8.93
10,Transportation and warehousing,6.05
11,"Agriculture, forestry, fishing, and hunting",5.38
12,Utilities,2.56
13,"Mining, quarrying, and oil and gas extraction",0.3
