,Year,Number of deaths
0,1977,7395
1,1978,7710
2,1979,7575
3,1980,6505
4,1981,6700
5,1982,6020
6,1983,5920
7,1984,5240
8,1985,6185
9,1986,5850
10,1987,5810
11,1988,6215
12,1989,5410
13,1990,5195
14,1991,4465
15,1992,4730
16,1993,4635
17,1994,4275
18,1995,4585
19,1996,4990
20,1997,4050
21,1998,4035
22,1999,3570
23,2000,4045
24,2001 *,6196
25,2002,3380
26,2003,3925
27,2004,3900
28,2005,3675
29,2006,3245
30,2007,3430
31,2008,3320
32,2009,3010
33,2010,3120
34,2011,3005
35,2012,2855
36,2013,3240
37,2014,3275
38,2015,3280
39,2016,3390
40,2017,3400
41,2018,3655
