,Month,Market share
0,Dec '20,30.12%
1,Nov '20,29.94%
2,Oct '20,29.76%
3,Sep '20,29.7%
4,Aug '20,29.44%
5,Jul '20,28.9%
6,Jun '20,27.6%
7,May '20,27.76%
8,Apr '20,27.54%
9,Mar '20,26.29%
10,Feb '20,24.72%
11,Jan '20,24.75%
12,Dec '19,24.84%
13,Nov '19,25.09%
14,Oct '19,24.31%
15,Sep '19,24.62%
16,Aug '19,24.6%
17,Jul '19,24.45%
18,Jun '19,23.98%
19,May '19,23.26%
20,Apr '19,24.28%
21,Mar '19,25.12%
22,Feb '19,18.12%
23,Jan '19,18.76%
24,Dec '18,18.56%
25,Nov '18,17.83%
26,Oct '18,24.16%
27,Sep '18,25.69%
28,Aug '18,24.72%
29,Jul '18,26.61%
30,Jun '18,27.28%
31,May '18,26.1%
32,Apr '18,26.34%
33,Mar '18,26%
34,Feb '18,26.25%
35,Jan '18,26.48%
36,Dec '17,26.8%
