,Company,Net profit in million NOK
0,Telenor ASA,23621.0
1,Telenor Norge AS,6324.0
2,Telia Norge AS,2446.0
3,Canal Digital AS,581.0
4,Telenor Satellite AS,351.0
5,Kongsberg Satellite Services AS,265.0
6,Norkring AS,236.0
7,Tempnet AS,164.0
8,Fugro Norway AS,160.0
9,Telenor Global Services AS,90.0
10,Nextgentel Holding ASA,87.0
11,Powertech Information Systems AS,78.2
12,Eltel Networks AS,50.0
13,Airbus Defence And Space AS,47.9
14,Telenor Svalbard AS,38.4
15,Inmarsat Solutions AS,36.7
16,Jotron AS,34.8
17,Viasat AS,22.4
18,Altifiber AS,22.3
19,Fiberworks AS,20.5
