,Industry,Real value added in billion chained (2012) U.S. dollars
0,"Finance, insurance, real estate, rental, and leasing",433.11
1,Professional and business services,211.36
2,Information,162.04
3,Government and government enterprises,154.88
4,"Educational services, health care, and social assistance",146.19
5,Retail trade,71.56
6,"Arts, entertainment, recreation, accommodation, and food services",66.9
7,Wholesale trade,65.57
8,Manufacturing,64.83
9,Construction,40.01
10,Transportation and warehousing,31.65
11,Utilities,20.65
12,"Agriculture, forestry, fishing, and hunting",4.28
13,"Mining, quarrying, and oil and gas extraction",1.14
