,Country,"Number of optician retail outlets per 10,000 population"
0,Cyprus,2.54
1,Belgium,2.39
2,Greece,2.28
3,Portugal,2.22
4,Czech Republic,2.18
5,Spain,2.1
6,France,2.03
7,Italy,1.67
8,Germany,1.49
9,Austria,1.4
10,Switzerland,1.33
11,Slovenia,1.31
12,Netherlands,1.26
13,Finland,1.25
14,Denmark,1.22
15,Hungary,1.2
16,Slovakia,1.2
17,Croatia,1.18
18,Estonia,1.14
19,Norway,1.14
20,Bulgaria,1.12
21,United Kingdom,1.11
22,Sweden,0.92
23,Latvia,0.89
24,Ireland,0.8
25,Turkey,0.79
26,Poland,0.78
27,Romania,0.77
28,Serbia,0.68
29,Ukraine,0.33
