,Quarter,Number of monthly active users in millions
0,Q1 '19,330.0
1,Q4 '18,321.0
2,Q3 '18,326.0
3,Q2 '18,335.0
4,Q1 '18,336.0
5,Q4 '17,330.0
6,Q3 '17,330.0
7,Q2 '17,326.0
8,Q1 '17,327.0
9,Q4 '16,318.0
10,Q3 '16,317.0
11,Q2 '16,313.0
12,Q1 '16,310.0
13,Q4 '15,305.0
14,Q3 '15,307.0
15,Q2 '15,304.0
16,Q1 '15,302.0
17,Q4 '14,288.0
18,Q3 '14,284.0
19,Q2 '14,271.0
20,Q1 '14,255.0
21,Q4 '13,241.0
22,Q3 '13,231.7
23,Q2 '13,218.0
24,Q1 '13,204.0
25,Q4 '12,185.0
26,Q3 '12,167.0
27,Q2 '12,151.0
28,Q1 '12,138.0
29,Q4 '11,117.0
30,Q3 '11,101.0
31,Q2 '11,85.0
32,Q1 '11,68.0
33,Q4 '10,54.0
34,Q3 '10,49.0
35,Q2 '10,40.0
36,Q1 '10,30.0
