,Month,Percentage change**
0,Jun 20,73.4%
1,May 20,59%
2,Apr 20,33%
3,Mar 20,12.6%
4,Feb 20,6.3%
5,Jan 20,7.8%
6,Dec 19,11.8%
7,Nov 19,-0.7%
8,Oct 19,8.8%
9,Sep 19,8.4%
10,Aug 19,11.6%
11,Jul 19,13.6%
12,Jun 19,8.5%
13,May 19,9%
14,Apr 19,14.4%
15,Mar 19,14.4%
16,Feb 19,13.7%
17,Jan 19,13.5%
18,Dec 18,13%
19,Nov 18,13%
20,Oct 18,13%
21,Sep 18,11.8%
22,Aug 18,14%
23,Jul 18,16%
24,Jun 18,15.7%
25,May 18,21.2%
26,Apr 18,13%
27,Mar 18,16.5%
28,Feb 18,15.3%
29,Jan 18,13.6%
30,Dec 17,9%
31,Nov 17,10.1%
32,Oct 17,9.6%
33,Sep 17,13.6%
34,Aug 17,19%
35,Jul 17,20.1%
36,Jun 17,20.1%
37,May 17,17.1%
38,Apr 17,22.1%
39,Mar 17,24.3%
40,Feb 17,22.2%
41,Jan 17,16.1%
42,Dec 16,30.1%
43,Nov 16,28.4%
44,Oct 16,30%
45,Sep 16,25.8%
46,Aug 16,23.6%
47,Jul 16,17.8%
48,Jun 16,17.2%
49,May 16,19.6%
50,Apr 16,12.9%
51,Mar 16,11.6%
52,Feb 16,12.4%
53,Jan 16,13.8%
54,Dec 15,8.4%
55,Nov 15,14.9%
56,Oct 15,11.6%
57,Sep 15,14.4%
58,Aug 15,8.7%
59,Jul 15,13.2%
60,Jun 15,13.9%
61,May 15,9.4%
62,Apr 15,14.3%
63,Mar 15,12.5%
64,Feb 15,11.4%
65,Jan 15,19.3%
66,Dec 14,11.1%
67,Nov 14,19.7%
68,Oct 14,12%
69,Sep 14,10.1%
70,Aug 14,13.7%
71,Jul 14,14.8%
72,Jun 14,15%
73,May 14,16.6%
74,Apr 14,15%
75,Mar 14,9.1%
76,Feb 14,11.9%
77,Jan 14,11%
78,Dec 13,13.5%
79,Nov 13,17.5%
80,Oct 13,17.8%
81,Sep 13,17.4%
82,Aug 13,21.7%
83,Jul 13,10.2%
84,Jun 13,18.1%
85,May 13,10.7%
86,Apr 13,13.9%
87,Mar 13,18.8%
88,Feb 13,12.9%
89,Jan 13,12.8%
