,CEO,Compensation in million U.S. dollars
0,Stephen J. Hemsley (UnitedHealth Group),101.96
1,Edward A. Mueller (Qwest Communications),65.8
2,Robert A. Iger (Walt Disney),53.32
3,George Paz (Express Scripts),51.52
4,Lew Frankfort (Coach),49.45
5,Ralph Lauren (Polo Ralph Lauren),43.0
6,John C. Martin (Gilead Sciences),42.72
7,James T. Hackett (Anadarko Petroleum),38.94
8,John T. Chambers (Cisco Systems),37.9
9,Ivan G. Seidenberg (Verizon Communications),36.75
10,David E. I. Pyott (Allergan),33.76
11,Gregory T. Lucier (Life Technologies),33.75
12,Charles D. Davidson (Noble Energy),33.44
13,John H. Hammergren (McKesson),32.46
14,Joseph M. Tucci (EMC),31.63
15,Jen-Hsun Huang (Nvidia),31.4
16,Gregory H. Boyce (Peabody Energy),30.66
17,F. H. Merelli (Cimarex Energy),30.53
18,Samuel J. Palmisano (IBM),30.32
19,Louis C. Camilleri (Philip Morris Intl.),30.08
