,government department,Funds in million U.S. dollars
0,Department of Health and Human Services,18313.19
1,National Science Foundation,4611.32
2,Department of Energy,4025.36
3,National Aeronautics and Space Administration,3317.33
4,Department of Defense,2938.3
5,Department of Agriculture,929.0
6,Department of Education,613.46
7,Department of Commerce,347.3
8,Department of Transportation,81.6
9,Environmental Protection Agency,51.7
10,Department of the Interior,48.4
11,Agency for International Development,47.5
12,Department of Justice,40.7
13,Department of Homeland Security,37.8
14,Other agencies,9.2
15,Nuclear Regulatory Commission,5.9
16,Department of Housing and Urban Development,1.8
