,Dutch Football Players,Market (transfer) value in million euros
0,Donny van de Beek (Ajax),55.0
1,Hakim Ziyech (Ajax),50.0
2,David Neres (Ajax),45.0
3,André Onana (Ajax),45.0
4,Nicolás Tagliafico (Ajax),35.0
5,Donyell Malen (PSV),28.0
6,Dusan Tadic (Ajax),25.0
7,Daley Blind (Ajax),25.0
8,Mohamed Ihattaren (PSV),22.0
9,Quincy Promes (Ajax),22.0
10,Lisandro Martínez (Ajax),20.0
11,Myron Boadu (AZ),20.0
12,Calvin Stengs (AZ),20.0
13,Noussair Mazraoui (Ajax),15.0
14,Teun Koopmeiners (AZ),14.0
15,Denzel Dumfries (PSV),13.5
16,Steven Berghuis (Feyenoord),13.0
17,Edson Álvarez (Ajax),13.0
18,Sergiño Dest (Ajax),12.0
19,Razvan Marin (Ajax),12.0
20,Oussama Idrissi (AZ),12.0
21,Pablo Rosario (PSV),11.0
22,Joël Veltman (Ajax),10.0
23,Bruma (PSV),10.0
24,Ricardo Rodríguez (PSV),10.0
