,Quarter,Exports in billion U.S. dollars
0,Q2 '20,444.65
1,Q1 '20,605.55
2,Q4 '19,632.47
3,Q3 '19,630.19
4,Q2 '19,631.39
5,Q1 '19,634.21
6,Q4 '18,634.73
7,Q3 '18,634.63
8,Q2 '18,639.68
9,Q1 '18,630.35
10,Q4 '17,618.09
11,Q3 '17,595.23
12,Q2 '17,587.17
13,Q1 '17,586.89
14,Q4 '16,570.24
15,Q3 '16,567.61
16,Q2 '16,553.8
17,Q1 '16,546.27
18,Q4 '15,557.27
19,Q3 '15,567.8
20,Q2 '15,567.27
21,Q1 '15,578.4
22,Q4 '14,598.58
23,Q3 '14,602.44
24,Q2 '14,600.9
25,Q1 '14,590.36
26,Q4 '13,590.11
27,Q3 '13,577.11
28,Q2 '13,573.41
29,Q1 '13,572.62
30,Q4 '12,566.82
31,Q3 '12,562.9
32,Q2 '12,561.72
33,Q1 '12,556.02
34,Q4 '11,545.89
35,Q3 '11,547.84
36,Q2 '11,534.59
37,Q1 '11,515.24
38,Q4 '10,498.37
39,Q3 '10,473.16
40,Q2 '10,457.15
41,Q1 '10,443.65
