,Police force,Number of police officers
0,Metropolitan Police (London),32958
1,Scotland,17431
2,Northern Ireland,6917
3,Greater Manchester,6866
4,West Midlands,6516
5,West Yorkshire,5342
6,Thames Valley,4310
7,Kent,3780
8,Merseyside,3629
9,Essex,3298
10,North Yorkshire,3155
11,Devon & Cornwall,3100
12,South Wales,3012
13,Lancashire,2999
14,British Transport Police,2964
15,Avon & Somerset,2803
16,Sussex,2717
17,Hampshire,2692
18,South Yorkshire,2437
19,West Mercia,2219
20,Cheshire,2088
21,Hertfordshire,2086
22,Nottinghamshire,2072
23,Leicestershire,1979
24,Humberside,1966
25,Surrey,1928
26,Derbyshire,1849
27,Staffordshire,1666
28,Norfolk,1665
29,Cambridgeshire,1545
30,North Wales,1510
31,Northamptonshire,1481
32,Gwent,1311
33,Northumbria,1272
34,Bedfordshire,1262
35,Dorset,1238
36,Cumbria,1221
37,Suffolk,1219
38,Gloucestershire,1176
39,Dyfed-Powys,1165
40,Durham,1141
41,Lincolnshire,1067
42,Warwickshire,1035
43,Wiltshire,1007
