,Response,Tablet,Smartphone
0,Watching movies/videos online,23%,52%
1,E-mail,22%,59%
2,Using social media sites,19%,54%
3,Reading news,19%,48%
4,Online shopping,18%,43%
5,Downloading software/applications,16%,42%
6,Listening to streaming music/radio,12%,38%
7,Instant messaging/video calling,12%,43%
8,Uploading/sharing content,11%,39%
9,Online banking,11%,36%
10,Online gaming,11%,28%
11,Using online payment systems/wallets,10%,30%
12,Online data storage,10%,29%
13,Visiting adult websites,6%,17%
14,Visiting online dating websites/services or apps,6%,18%
15,Online gambling/betting,5%,10%
16,Trading securities/shares online,4%,9%
