,Reinsurer,Amount in billion U.S. dollars
0,National Indemnity Company,25.78
1,Everest Reinsurance Company,7.21
2,Swiss Reinsurance America Corporation,7.06
3,XL Reinsurance America,6.53
4,"Munich Re America, Corp.",5.53
5,Transatlantic Reinsurance Company,4.51
6,Odyssey Group,3.52
7,General Re Group,3.28
8,SCOR U.S. Corporation,2.28
9,Partner Reinsurance Company of the U.S.,2.2
10,Endurance Assurance Corporation,1.31
11,AXIS Reinsurance Company,1.13
12,Renaissance Reinsurance US Inc.,1.12
13,American Agricultural Ins. Co.,1.08
14,The Toa Reinsurance Company of America,0.51
15,Sirius America Insurance Company,0.39
16,EMC Reinsurance Company,0.18
