,Donors,Amount donated in U.S. dollars
0,Wilks Family,15000000
1,Robert Mercer,12500000
2,Hank Greenberg,10010000
3,Toby Neugebauer,10001000
4,George Soros,8025000
5,Richard and Elizabeth Uihlein,6550000
6,Norman Braman,6100000
7,Kelcy Warren,6000000
8,Paul Singer,5608213
9,Tom Steyer,5041744
10,Haim and Cheryl Saban,5000002
11,Diane Hendricks,5000000
12,Robert McNair,4500000
13,Steve and Alexandra Cohen,4000000
14,Jerrold Perenchio,3972127
15,Mike Fernandez,3370520
16,Ken Griffin,3150000
17,Ronald Cameron,3055000
18,Larry Ellison,3000000
19,Donald Sussman,3000000
