,Country,"Number of DDD per 1,000 inhabitants"
0,Mongolia,64.41
1,Iran,38.78
2,Turkey,38.18
3,Sudan,35.29
4,Greece,33.85
5,Serbia,31.57
6,Montenegro,29.33
7,Romania,28.5
8,Republic of Korea,27.68
9,United Republic of Tanzania,27.29
10,Cyprus,27.14
11,Italy,26.62
12,France,25.92
13,Belgium,25.57
14,Georgia,24.44
15,Slovakia,24.34
16,Poland,24.3
17,Ireland,23.27
18,Brazil,22.75
19,New Zealand,22.68
20,Luxembourg,22.31
21,Tajikistan,21.95
22,Malta,21.88
23,United Kingdom,20.47
24,Croatia,20.28
25,Bulgaria,20.25
26,Kosovo,20.18
27,Bolivia,19.57
28,Paraguay,19.38
29,Finland,18.52
30,Spain,17.96
31,Kyrgyzstan,17.94
32,Kazakhstan,17.89
33,Iceland,17.87
34,Bosnia and Herzegovina,17.85
35,Denmark,17.84
36,Portugal,17.72
37,Belarus,17.48
38,Czech Republic,17.18
39,Canada,17.05
40,Norway,16.97
41,Albania,16.41
42,Hungary,16.31
43,Lithuania,15.83
44,Russian Federation,14.82
45,Japan,14.19
46,Costa Rica,14.15
47,Burkina Faso,13.78
48,Sweden,13.73
49,Slovenia,13.48
50,Republic of Moldova,13.42
51,Latvia,13.3
52,Austria,12.17
53,Estona,12.13
54,Germany,11.49
55,Cote d'Ivoire,10.68
56,Armenia,10.31
57,Peru,10.26
58,Netherlands,9.78
59,Jordan,8.92
60,Uzbekistan,8.56
61,Phillipines,8.21
62,Azerbaijan,7.66
63,Brunei Darussalam,5.92
64,Burundi,4.44
