,Industry,Real value added in billion chained (2012) U.S. dollars
0,"Finance, insurance, real estate, rental, and leasing",12.46
1,Government and government enterprises,9.01
2,Manufacturing,8.66
3,Professional and business services,7.91
4,"Educational services, health care, and social assistance",6.79
5,Retail trade,6.11
6,"Agriculture, forestry, fishing, and hunting",5.93
7,Wholesale trade,4.72
8,Construction,4.08
9,"Arts, entertainment, recreation, accommodation, and food services",2.73
10,Transportation and warehousing,2.0
11,Information,1.85
12,Utilities,1.17
13,"Mining, quarrying, and oil and gas extraction",0.27
