,Year,Inflation rate compared to previous year
0,2024*,2.13%
1,2023*,2.04%
2,2022*,1.92%
3,2021*,1.7%
4,2020*,1.67%
5,2019*,1.49%
6,2018,1.93%
7,2017,1.71%
8,2016,0.38%
9,2015,0.68%
10,2014,0.77%
11,2013,1.6%
12,2012,2.15%
13,2011,2.48%
14,2010,1.12%
15,2009,0.25%
16,2008,2.75%
17,2007,2.29%
18,2006,1.79%
19,2005,1.93%
20,2004,1.75%
21,2003,1.09%
22,2002,1.31%
23,2001,1.9%
24,2000,1.4%
25,1999,0.68%
26,1998,0.59%
27,1997,1.52%
28,1996,1.27%
29,1995,1.73%
30,1994,2.72%
31,1993,4.48%
32,1992,5.05%
33,1991,3.47%
34,1990,2.69%
35,1989,2.78%
36,1988,1.27%
37,1987,0.24%
38,1986,-0.13%
39,1985,2.08%
40,1984,2.4%
