,Month,Index number of sales per week
0,Jun 20,71.4
1,May 20,42.0
2,Apr 20,35.4
3,Mar 20,69.5
4,Feb 20,107.5
5,Jan 20,107.7
6,Dec 19,103.6
7,Nov 19,105.6
8,Oct 19,106.5
9,Sep 19,107.3
10,Aug 19,106.9
11,Jul 19,106.8
12,Jun 19,107.3
13,May 19,106.2
14,Apr 19,110.3
15,Mar 19,108.1
16,Feb 19,106.5
17,Jan 19,106.8
18,Dec 18,106.1
19,Nov 18,106.1
20,Oct 18,104.5
21,Sep 18,104.2
22,Aug 18,103.3
23,Jul 18,105.6
24,Jun 18,103.9
25,May 18,105.6
26,Apr 18,101.5
27,Mar 18,100.4
28,Feb 18,101.9
29,Jan 18,102.2
30,Dec 17,102.4
31,Nov 17,103.9
32,Oct 17,103.5
33,Sep 17,105.2
34,Aug 17,104.8
35,Jul 17,103.9
36,Jun 17,104.3
37,May 17,104.3
38,Apr 17,103.5
39,Mar 17,104.7
40,Feb 17,103.6
41,Jan 17,101.9
42,Dec 16,100.7
43,Nov 16,101.6
44,Oct 16,105.3
45,Sep 16,98.7
46,Aug 16,101.0
47,July 16,102.9
48,June 16,98.1
49,May 16,100.6
50,Apr 16,98.9
51,Mar 16,96.0
52,Feb 16,98.8
53,Jan 16,98.9
54,Dec 15,100.0
55,Nov 15,102.0
56,Oct 15,101.2
57,Sep 15,103.3
58,Aug 15,103.5
59,Jul 15,100.3
60,Jun 15,105.1
61,May 15,102.5
62,Apr 15,105.5
63,Mar 15,102.8
64,Feb 15,102.4
65,Jan 15,98.5
