,Year,Inflation rate compared to previous year
0,2024*,3%
1,2023*,3%
2,2022*,3%
3,2021*,3%
4,2020*,2.78%
5,2019*,2.22%
6,2018,2.32%
7,2017,2.18%
8,2016,3.79%
9,2015,4.35%
10,2014,4.71%
11,2013,1.79%
12,2012,3%
13,2011,3.34%
14,2010,1.41%
15,2009,1.5%
16,2008,8.72%
17,2007,4.41%
18,2006,3.4%
19,2005,3.05%
20,2004,1.05%
21,2003,2.81%
22,2002,2.49%
23,2001,3.57%
24,2000,3.84%
25,1999,3.33%
26,1998,5.11%
27,1997,6.13%
28,1996,7.36%
29,1995,8.23%
30,1994,11.46%
31,1993,12.74%
32,1992,15.45%
33,1991,21.82%
34,1990,26.04%
35,1989,17.03%
36,1988,14.68%
37,1987,19.88%
38,1986,19.48%
39,1985,30.7%
40,1984,19.86%
